id,title,author,price,ideditorial
1,Harry Potter y la piedra filosofal,J. K. Rowling,1526.35,2
2,Harry Potter y la camara secreta,J. K. Rowling,1680.5,2
3,Harry Potter y el prisionero de Azkaban,J. K. Rowling,1569.54,2
4,Harry Potter y la orden del fenix,J. K. Rowling,1750.65,2
5,Harry Potter y el principe mestizo,J. K. Rowling,1805.62,2
6,Harry Potter y las reliquias de la muerte,J. K. Rowling,2100.5,2
7,Harry Potter y el caliz de fuego,J. K. Rowling,1580.1,2
8,Orgullo y prejuicio,Jane Austen,2100.5,1
9,Don quijote de la mancha,Miguel de Cervantes,1856.3,4
10,Cien años de soledad,Gabriel Garcia Marquez,1756.4,5
11,Hamlet,William Shakespeare,2150.65,3
12,Sentido y sensibilidad,Jane Austen,1152.62,1
13,La forense,Marisa Grintein,1140.5,6
14,El coraje de vivir,Jose Antonio Goyri,1400.9,3
15,La montaña magica,Thomas Mann,2500.5,6
16,Boulevard,Flor M. Salvador,1575.6,4
17,La Casa de los espiritus,Isabel Allende,1430.2,1
18,El extranjero,Albert Camus,1263.4,3
19,Dracula,Bram Stroker,1635.1,4
20,Divina Comedia,Dante Alighieri,2100.6,5
21,La metamorfosis,Franz Kafka,1468.9,6
22,Los cuentos de Canterbury,Geoffrey,1587.45,4
23,El conde de Montecristo,Alejandro Dumas,1269.75,1
24,Canto general,Pablo Neruda,1597.2,4
25,Rayuela,Julio Cortazar,1245.99,6